n,repetition,CPU_time_s,nodes,depth,n_solutions_tree,n_total_solutions,nodes_first_solution,depth_first_solution,q_detect_opt_W_R=n,q_detect_opt_W_R=1,q_binary_search_opt_W_R=n,q_binary_search_est_W_R=n
11,2,0,889,11,3,3,158,11,16975.61614348086,5102.9770910594425,186731.77757828945,467060.8670949125,163.57640052388575
11,3,0,665,11,2,2,14,11,14678.969296259174,4410.621574385974,161468.6622588509,467060.8670949125,202.2898526451104
11,4,0,831,11,1,1,600,11,16411.769341439853,4932.994946725467,180529.46275583838,467060.8670949125,288.1409568328545
11,5,0,957,11,3,3,289,11,17613.736764755828,5295.352320328771,193751.1044123141,467060.8670949125,163.57640052388575
11,6,0,889,11,1,1,275,11,16975.61614348086,5102.9770910594425,186731.77757828945,467060.8670949125,288.1409568328545
11,7,0,751,11,1,1,37,11,15600.694821516501,4688.484437001709,171607.64303668152,467060.8670949125,288.1409568328545
11,8,0,839,11,1,1,240,11,16490.685949822833,4956.785732654999,181397.54544805115,467060.8670949125,288.1409568328545
11,9,0,803,11,1,1,582,11,16132.525745257371,4848.812373523605,177457.78319783107,467060.8670949125,288.1409568328545
11,10,0,851,11,2,2,719,11,16608.35875880092,4992.260311283268,182691.94634681015,467060.8670949125,202.2898526451104
11,11,0,921,11,1,1,321,11,17278.840138135252,5194.3902731930875,190067.24151948778,467060.8670949125,288.1409568328545
11,12,0,947,11,3,3,35,11,17521.351178669564,5267.50057784366,192734.8629653652,467060.8670949125,163.57640052388575
11,13,0,877,11,1,1,203,11,16860.503199242747,5068.274014555431,185465.5351916702,467060.8670949125,288.1409568328545
11,14,0,789,11,1,1,417,11,15991.078072288325,4806.170813736282,175901.85879517157,467060.8670949125,288.1409568328545
11,15,0,739,11,2,2,618,11,15475.373119824992,4650.704692567816,170229.1043180749,467060.8670949125,202.2898526451104
11,16,0,959,11,1,1,942,11,17632.155870029907,5300.905184255533,193953.71457032897,467060.8670949125,288.1409568328545
11,17,0,819,11,2,2,756,11,16292.678741375248,4897.093074850262,179219.46615512774,467060.8670949125,202.2898526451104
11,18,0,995,11,1,1,97,11,17960.474089806845,5399.884523137065,197565.21498787528,467060.8670949125,288.1409568328545
11,19,0,983,11,1,1,930,11,17851.704747888474,5367.093366955778,196368.7522267732,467060.8670949125,288.1409568328545
12,0,0,1495,12,1,1,597,12,23000.686284062613,6623.911199978439,276008.23540875135,760658.4642350338,391.3658604966136
12,1,0,1195,12,2,2,386,12,20561.43868735007,5919.825702553228,246737.26424820084,760658.4642350338,270.32565698837067
12,2,0,1335,12,1,1,160,12,21733.813246022848,6258.228214026352,260805.75895227416,760658.4642350338,391.3658604966136
12,3,0,1083,12,1,1,961,12,19573.103460485232,5634.548664777399,234877.24152582278,760658.4642350338,391.3658604966136
12,4,0,1079,12,2,2,908,12,19536.882173646292,5624.0936665449035,234442.5860837555,760658.4642350338,270.32565698837067
12,5,0,1159,12,1,1,580,12,20249.015054977517,5829.6461699466045,242988.18065973022,760658.4642350338,391.3658604966136
12,6,0,759,12,1,1,467,12,16382.077740678025,4713.503523834347,196584.9328881363,532276.1604657004,391.3658604966136
12,7,0,1187,12,1,1,942,12,20492.422386561866,5899.904464850108,245909.06863874238,760658.4642350338,391.3658604966136
12,8,0,993,12,2,2,96,12,18741.22038412318,5394.43311389103,224894.64460947813,532276.1604657004,270.32565698837067
12,9,0,1127,12,3,3,546,12,19967.206424454736,5748.303757891021,239606.47709345684,760658.4642350338,220.8723312005291
12,10,0,1215,12,1,1,697,12,20732.97545307981,5969.339059907407,248795.7054369577,760658.4642350338,391.3658604966136
12,11,0,1011,12,1,1,406,12,18910.52126430695,5443.300084485971,226926.25517168338,532276.1604657004,391.3658604966136
12,12,0,1071,12,1,1,239,12,19464.237625499805,5603.125384982602,233570.85150599765,760658.4642350338,391.3658604966136
12,13,0,1437,12,2,2,1034,12,22549.661947447818,6493.7225868760925,270595.9433693738,760658.4642350338,270.32565698837067
12,14,0,1047,12,2,2,14,12,19244.660707776704,5539.746331982787,230935.92849332045,760658.4642350338,270.32565698837067
12,15,0,1155,12,2,2,27,12,20214.003587540312,5819.540301529614,242568.04305048374,760658.4642350338,270.32565698837067
12,16,0,1327,12,1,1,334,12,21668.52743003786,6239.383559436034,260022.3291604543,760658.4642350338,391.3658604966136
12,17,0,1083,12,1,1,597,12,19573.103460485232,5634.548664777399,234877.24152582278,760658.4642350338,391.3658604966136
12,18,0,1319,12,2,2,464,12,21603.04452677032,6220.482026426342,259236.53432124387,760658.4642350338,270.32565698837067
12,19,0,1507,12,1,1,924,12,23092.902981892785,6650.529691788122,277114.83578271343,760658.4642350338,391.3658604966136
13,0,0,1205,13,2,2,64,13,21491.40351807226,5944.633732888573,279388.2457349394,857806.2980924004,368.26683467442604
13,1,0,1861,13,1,1,1767,13,26713.69149282722,7392.916324174251,347277.98940675386,857806.2980924004,535.2056336348548
13,2,0,1713,13,2,2,284,13,25628.535518997825,7091.969033679261,333170.9617469717,857806.2980924004,368.26683467442604
13,3,0,1145,13,4,4,795,13,20948.945682215905,5794.198822114927,272336.29386880674,857806.2980924004,259.8462955840448
13,4,0,1571,13,3,3,235,13,24542.353290483326,6790.738973329179,319050.5927762833,857806.2980924004,299.99909677792004
13,5,0,1639,13,2,2,207,13,25068.36456497138,6936.617019760873,325888.73934462795,857806.2980924004,368.26683467442604
13,6,0,1353,13,3,3,98,13,22774.34537700938,6300.42335660431,296066.48990112194,857806.2980924004,299.99909677792004
