n,time,nodes,depth,n_solutions_tree,n_total_solutions,nodes_first_solution,depth_first_solution,time_detect,time_binary_search,time_grover
14,0,367,14,2,2,68,14,0.0461199,1.75323,6.05774e-05
14,0,347,14,3,3,279,14,0.0448433,1.75323,4.92007e-05
14,0,599,14,6,6,347,14,0.0589442,2.51608,3.49341e-05
14,0,387,14,7,10,29,13,0.0473622,1.75323,2.75211e-05
14,0,553,14,7,7,22,14,0.0566324,2.51608,3.25598e-05
14,0,589,14,8,11,147,14,0.0584494,2.51608,2.63976e-05
14,0,425,14,1,1,389,14,0.049637,1.75323,8.8378e-05
14,0,451,14,3,3,302,14,0.0511354,1.75323,4.92007e-05
14,0,731,14,4,4,412,14,0.0651246,2.51608,4.25492e-05
14,0,419,14,2,2,224,14,0.0492848,1.75323,6.05774e-05
14,0,473,14,17,17,164,14,0.0523697,1.75323,2.14236e-05
14,0,263,14,9,9,29,14,0.0389773,1.75089,2.88333e-05
14,0,565,14,10,10,142,14,0.0572445,2.51608,2.75211e-05
14,0,445,14,2,2,251,14,0.0507935,1.75323,6.05774e-05
14,0,605,14,1,1,289,14,0.0592391,2.51608,8.8378e-05
14,0,523,14,3,3,103,14,0.0550725,2.51608,4.92007e-05
14,0,649,14,25,25,90,14,0.0613585,2.51608,1.80077e-05
14,0,793,14,16,16,120,14,0.0678337,2.51608,2.22423e-05
14,0,235,14,1,1,177,14,0.0368395,1.21254,8.8378e-05
14,0,621,14,5,5,344,14,0.0600184,2.51608,3.82994e-05
14,0,399,14,7,7,335,14,0.0480922,1.75323,3.25598e-05
14,0,441,14,22,22,41,14,0.0505643,1.75323,1.92405e-05
14,0,607,14,7,7,116,14,0.0593371,2.51608,3.25598e-05
14,0,387,14,4,4,137,14,0.0473622,1.75323,4.25492e-05
14,0,663,14,10,11,72,14,0.0620176,2.51608,2.63976e-05
14,0,547,14,3,3,329,14,0.0563239,2.51608,4.92007e-05
14,0,293,14,5,5,76,14,0.0411998,1.75323,3.82994e-05
15,0,499,15,2,2,399,15,0.0556831,1.94472,9.04733e-05
15,0,647,15,6,6,37,15,0.0634169,2.7908,5.17811e-05
15,0,503,15,4,4,334,15,0.0559061,1.94472,6.32694e-05
15,0,461,15,2,3,107,14,0.0535176,1.94472,7.3279e-05
15,0,1363,15,14,14,55,15,0.0922062,3.99317,3.46307e-05
15,0,715,15,3,3,214,15,0.0666706,2.7908,7.3279e-05
15,0,777,15,4,4,113,15,0.0695047,2.7908,6.32694e-05
15,0,691,15,3,3,481,15,0.0655407,2.7908,7.3279e-05
15,0,503,15,6,6,100,15,0.0559061,1.94472,5.17811e-05
15,0,877,15,6,6,193,15,0.0738473,2.7908,5.17811e-05
15,0,631,15,18,18,319,15,0.0626268,2.7908,3.07364e-05
15,0,555,15,5,5,110,15,0.0587291,2.7908,5.67902e-05
15,0,285,15,3,3,33,15,0.0420614,1.94472,7.3279e-05
15,0,459,15,1,1,51,15,0.0534012,1.94472,0.000132468
15,0,559,15,14,14,174,15,0.0589407,2.7908,3.46307e-05
15,0,767,15,8,9,304,15,0.0690554,2.7908,4.25935e-05
15,0,449,15,9,9,28,15,0.0528154,1.94472,4.25935e-05
15,0,429,15,8,8,227,15,0.0516238,1.94472,4.49739e-05
15,0,487,15,7,7,44,15,0.0550084,1.94472,4.81593e-05
15,0,457,15,1,1,421,15,0.0532846,1.94472,0.000132468
15,0,553,15,3,3,288,15,0.058623,2.7908,7.3279e-05
15,0,783,15,20,20,129,15,0.0697729,2.7908,2.93607e-05
15,0,661,15,3,3,289,15,0.0641003,2.7908,7.3279e-05
15,0,279,15,1,1,184,15,0.0416154,1.94472,0.000132468
15,0,1031,15,5,5,39,15,0.0801829,3.99317,5.67902e-05
15,0,835,15,6,6,161,15,0.0720553,2.7908,5.17811e-05
15,0,1211,15,39,39,337,15,0.086908,3.99317,2.16689e-05
15,0,459,15,2,2,127,15,0.0534012,1.94472,9.04733e-05
15,0,443,15,14,14,40,15,0.0524607,1.94472,3.46307e-05
15,0,581,15,1,1,329,15,0.060091,2.7908,0.000132468
16,0,931,16,8,8,273,16,0.0786924,3.07895,6.178e-05
16,0,645,16,6,6,29,16,0.065398,3.07485,7.12537e-05
16,0,317,16,2,2,85,16,0.0458222,2.14274,0.000125358
16,0,1315,16,14,14,199,16,0.0935395,4.39949,4.73145e-05
16,0,765,16,3,3,292,16,0.0712298,3.07485,0.000101286
16,0,477,16,1,1,456,16,0.056228,2.14274,0.000184124
16,0,585,16,7,10,30,15,0.062278,3.07485,5.5601e-05
16,0,725,16,10,10,330,16,0.0693403,3.07485,5.5601e-05
16,0,1159,16,4,5,64,16,0.0878109,4.39949,7.81889e-05
16,0,445,16,5,5,89,16,0.0543064,2.14274,7.81889e-05
16,0,449,16,3,3,35,16,0.0545503,2.14274,0.000101286
16,0,411,16,2,2,287,16,0.0521872,2.14274,0.000125358
16,0,861,16,15,15,82,16,0.075673,3.07895,4.55652e-05
16,0,541,16,5,5,32,16,0.0598869,3.07485,7.81889e-05
16,0,759,16,23,23,84,16,0.0709496,3.07485,3.73081e-05
16,0,435,16,1,1,61,16,0.0536917,2.14274,0.000184124
16,0,997,16,3,3,179,16,0.0814369,3.07895,0.000101286
16,0,521,16,3,3,343,16,0.058768,3.07485,0.000101286
16,0,689,16,8,8,76,16,0.0675947,3.07485,6.178e-05
16,0,653,16,2,2,550,16,0.0658029,3.07485,0.000125358
16,0,491,16,1,1,116,16,0.0570484,2.14274,0.000184124
16,0,633,16,13,17,172,16,0.064786,3.07485,4.30374e-05
16,0,973,16,23,23,22,16,0.0804497,3.07895,3.73081e-05
16,0,837,16,6,8,555,16,0.0745103,3.07485,6.178e-05
16,0,1421,16,34,34,566,16,0.0972399,4.39949,3.11627e-05
16,0,827,16,5,5,134,16,0.0740633,3.07485,7.81889e-05
16,0,429,16,1,1,141,16,0.0533196,2.14274,0.000184124
16,0,479,16,8,8,85,16,0.056346,2.14274,6.178e-05
16,0,631,16,14,14,122,16,0.0646835,3.07485,4.73145e-05
16,0,895,16,2,2,506,16,0.0771543,3.07895,0.000125358
17,0,887,17,2,2,403,17,0.0808616,3.4443,0.000187852
17,0,1103,17,1,1,818,17,0.0901813,4.9214,0.000276654
17,0,901,17,6,6,594,17,0.0814979,3.4443,0.000106137
17,0,1215,17,9,9,59,17,0.0946535,4.9214,8.67794e-05
17,0,1079,17,1,1,783,17,0.0891938,4.9214,0.000276654
17,0,595,17,2,2,479,17,0.0661256,3.43981,0.000187852
17,0,709,17,8,8,507,17,0.0721908,3.43981,9.18772e-05
17,0,927,17,12,12,43,17,0.0826667,3.4443,7.5322e-05
17,0,989,17,4,4,847,17,0.0853893,3.4443,0.000130396
17,0,1255,17,33,33,88,17,0.0962004,4.9214,4.64662e-05
17,0,869,17,1,1,792,17,0.0800361,3.4443,0.000276654
