n,time,nodes,depth,n_solutions_tree,n_total_solutions,nodes_first_solution,depth_first_solution,time_detect,time_binary_search,time_grover
30,0,11957,26,0,0,0,0,0.39576,33.2625,0.316539
30,0,6589,28,0,0,0,0,0.293763,23.4356,0.316539
30,0,20443,27,0,0,0,0,0.518179,47.2222,0.316539
30,0,8963,29,0,0,0,0,0.342635,33.2625,0.316539
30,0,16155,29,0,0,0,0,0.460031,33.2625,0.316539
30,0,16283,28,0,0,0,0,0.461851,33.2625,0.316539
35,0,186303,35,0,0,0,0,1.77322,177.338,1.90999
35,0,48577,30,0,0,0,0,0.904292,88.3641,1.90999
35,0,33217,26,0,0,0,0,0.746837,88.2546,1.90999
35,0,50379,32,0,0,0,0,0.920914,88.3641,1.90999
35,0,33901,34,0,0,0,0,0.754488,88.2546,1.90999
35,0,41671,34,0,0,0,0,0.836505,88.2546,1.90999
35,0,74093,34,0,0,0,0,1.11684,125.127,1.90999
35,0,62637,34,0,0,0,0,1.02687,88.3641,1.90999
35,0,36347,33,0,0,0,0,0.781236,88.2546,1.90999
35,0,29605,35,0,0,0,0,0.705058,62.2926,1.90999
35,0,53533,31,0,0,0,0,0.949306,88.3641,1.90999
35,0,6165,32,0,0,0,0,0.321294,30.9178,1.90999
35,0,30111,31,0,0,0,0,0.711059,62.2926,1.90999
35,0,133223,34,0,0,0,0,1.49762,177.118,1.90999
35,0,62597,28,0,0,0,0,1.02654,88.3641,1.90999
35,0,32301,34,0,0,0,0,0.736466,62.2926,1.90999
35,0,31219,32,0,0,0,0,0.724025,62.2926,1.90999
35,0,196569,33,0,0,0,0,1.82142,177.338,1.90999
35,0,134355,35,0,0,0,0,1.50397,177.118,1.90999
35,0,106625,33,0,0,0,0,1.33979,125.127,1.90999
35,0,38261,34,0,0,0,0,0.801544,88.2546,1.90999
35,0,77709,33,0,0,0,0,1.14377,125.127,1.90999
35,0,71867,32,0,0,0,0,1.09993,125.127,1.90999
35,0,37041,32,0,0,0,0,0.78866,88.2546,1.90999
35,0,55999,32,0,0,0,0,0.970927,88.3641,1.90999
40,0,178261,38,0,0,0,0,1.85429,216.67,10.8045
40,0,72753,36,0,0,0,0,1.18311,152.88,10.8045
40,0,744587,34,0,0,0,0,3.79451,434.358,10.8045
40,0,467023,37,0,0,0,0,3.00142,306.616,10.8045
40,0,237599,39,0,0,0,0,2.1408,216.67,10.8045
40,0,300089,38,0,0,0,0,2.40591,306.616,10.8045
40,0,72735,34,0,0,0,0,1.18296,152.88,10.8045
40,0,249275,38,0,0,0,0,2.19277,216.67,10.8045
40,0,120847,39,0,0,0,0,1.52484,152.88,10.8045
40,0,523119,38,0,0,0,0,3.18051,306.996,10.8045
40,0,207647,39,0,0,0,0,2.00131,216.67,10.8045
40,0,468811,40,0,0,0,0,3.00716,306.616,10.8045
40,0,202483,40,0,0,0,0,1.97627,216.67,10.8045
